Content,Article Number,Article Name,Chapter Number,Chapter Name,Article Word Count,Question,Answer,Question Word Count,Answer Word Count
"
Article 80
Representation of data subjects
1. The data subject shall have the right to mandate a not-for-profit body, organisation or association which has been properly constituted in accordance with the law of a Member State, has statutory objectives which are in the public interest, and is active in the field of the protection of data subjects' rights and freedoms with regard to the protection of their personal data to lodge the complaint on his or her behalf, to exercise the rights referred to in Articles 77, 78 and 79 on his or her behalf, and to exercise the right to receive compensation referred to in Article 82 on his or her behalf where provided for by Member State law.
2. Member States may provide that any body, organisation or association referred to in paragraph 1 of this Article, independently of a data subject's mandate, has the right to lodge, in that Member State, a complaint with the supervisory authority which is competent pursuant to Article 77 and to exercise the rights referred to in Articles 78 and 79 if it considers that the rights of a data subject under this Regulation have been infringed as a result of the processing.
",80,Representation of data subjects,8,"Remedies, liability and penalties",201,"What is the right of the not-for-profit body, organisation or association referred to in paragraph 1 of Article 80?","The not-for-profit body, organisation or association referred to in paragraph 1 of Article 80 has the right to lodge the complaint on behalf of the data subject, to exercise the rights referred to in Articles 77, 78 and 79 on behalf of the data subject, and to exercise the right to receive compensation referred to in Article 82 on behalf of the data subject where provided for by Member State law.",19,71
"
Article 81
Suspension of proceedings
1. Where a competent court of a Member State has information on proceedings, concerning the same subject matter as regards processing by the same controller or processor, that are pending in a court in another Member State, it shall contact that court in the other Member State to confirm the existence of such proceedings.
2. Where proceedings concerning the same subject matter as regards processing of the same controller or processor are pending in a court in another Member State, any competent court other than the court first seized may suspend its proceedings.
3. Where those proceedings are pending at first instance, any court other than the court first seized may also, on the application of one of the parties, decline jurisdiction if the court first seized has jurisdiction over the actions in question and its law permits the consolidation thereof.
",81,Suspension of proceedings,8,"Remedies, liability and penalties",146,Can any competent court other than the court first seized suspend its proceedings if proceedings concerning the same subject matter as regards processing of the same controller or processor are pending in a court in another Member State?,"Yes, any competent court other than the court first seized may suspend its proceedings if proceedings concerning the same subject matter as regards processing of the same controller or processor are pending in a court in another Member State.",38,39
"
Article 82
Right to compensation and liability
1. Any person who has suffered material or non-material damage as a result of an infringement of this Regulation shall have the right to receive compensation from the controller or processor for the damage suffered.
2. Any controller involved in processing shall be liable for the damage caused by processing which infringes this Regulation. A processor shall be liable for the damage caused by processing only where it has not complied with obligations of this Regulation specifically directed to processors or where it has acted outside or contrary to lawful instructions of the controller.
3. A controller or processor shall be exempt from liability under paragraph 2 if it proves that it is not in any way responsible for the event giving rise to the damage.
4. Where more than one controller or processor, or both a controller and a processor, are involved in the same processing and where they are, under paragraphs 2 and 3, responsible for any damage caused by processing, each controller or processor shall be held liable for the entire damage in order to ensure effective compensation of the data subject.
5. Where a controller or processor has, in accordance with paragraph 4, paid full compensation for the damage suffered, that controller or processor shall be entitled to claim back from the other controllers or processors involved in the same processing that part of the compensation corresponding to their part of responsibility for the damage, in accordance with the conditions set out in paragraph 2.
6. Court proceedings for exercising the right to receive compensation shall be brought before the courts competent under the law of the Member State referred to in Article 79(2).
",82,Right to compensation and liability,8,"Remedies, liability and penalties",285,Under what circumstances is a controller or processor exempt from liability for damage caused by processing?,A controller or processor shall be exempt from liability under paragraph 2 if it proves that it is not in any way responsible for the event giving rise to the damage.,16,31
"
Article 83
General conditions for imposing administrative fines
1. Each supervisory authority shall ensure that the imposition of administrative fines pursuant to this Article in respect of infringements of this Regulation referred to in paragraphs 4, 5 and 6 shall in each individual case be effective, proportionate and dissuasive.
2. Administrative fines shall, depending on the circumstances of each individual case, be imposed in addition to, or instead of, measures referred to in points (a) to (h) and (j) of Article 58(2). When deciding whether to impose an administrative fine and deciding on the amount of the administrative fine in each individual case due regard shall be given to the following:
(a) the nature, gravity and duration of the infringement taking into account the nature scope or purpose of the processing concerned as well as the number of data subjects affected and the level of damage suffered by them;
(b) the intentional or negligent character of the infringement;
(c) any action taken by the controller or processor to mitigate the damage suffered by data subjects;
(d) the degree of responsibility of the controller or processor taking into account technical and organisational measures implemented by them pursuant to Articles 25 and 32;
(e) any relevant previous infringements by the controller or processor;
(f) the degree of cooperation with the supervisory authority, in order to remedy the infringement and mitigate the possible adverse effects of the infringement;
(g) the categories of personal data affected by the infringement;
(h) the manner in which the infringement became known to the supervisory authority, in particular whether, and if so to what extent, the controller or processor notified the infringement;
(i) where measures referred to in Article 58(2) have previously been ordered against the controller or processor concerned with regard to the same subject-matter, compliance with those measures;
(j) adherence to approved codes of conduct pursuant to Article 40 or approved certification mechanisms pursuant to Article 42; and
(k) any other aggravating or mitigating factor applicable to the circumstances of the case, such as financial benefits gained, or losses avoided, directly or indirectly, from the infringement.
3. If a controller or processor intentionally or negligently, for the same or linked processing operations, infringes several provisions of this Regulation, the total amount of the administrative fine shall not exceed the amount specified for the gravest infringement.
4. Infringements of the following provisions shall, in accordance with paragraph 2, be subject to administrative fines up to 10 000 000 EUR, or in the case of an undertaking, up to 2 % of the total worldwide annual turnover of the preceding financial year, whichever is higher:
(a) the obligations of the controller and the processor pursuant to Articles 8, 11, 25 to 39 and 42 and 43; (b) the obligations of the certification body pursuant to Articles 42 and 43;
(c) the obligations of the monitoring body pursuant to Article 41(4).
5. Infringements of the following provisions shall, in accordance with paragraph 2, be subject to administrative fines up to 20 000 000 EUR, or in the case of an undertaking, up to 4 % of the total worldwide annual turnover of the preceding financial year, whichever is higher:
(a) the basic principles for processing, including conditions for consent, pursuant to Articles 5, 6, 7 and 9;
(b) the data subjects' rights pursuant to Articles 12 to 22;
(c) the transfers of personal data to a recipient in a third country or an international organisation pursuant to Articles 44 to 49;
(d) any obligations pursuant to Member State law adopted under Chapter IX;
(e) non-compliance with an order or a temporary or definitive limitation on processing or the suspension of data flows by the supervisory authority pursuant to Article 58(2) or failure to provide access in violation of Article 58(1).
6. Non-compliance with an order by the supervisory authority as referred to in Article 58(2) shall, in accordance with paragraph 2 of this Article, be subject to administrative fines up to 20 000 000 EUR, or in the case of an undertaking, up to 4 % of the total worldwide annual turnover of the preceding financial year, whichever is higher.
7. Without prejudice to the corrective powers of supervisory authorities pursuant to Article 58(2), each Member State may lay down the rules on whether and to what extent administrative fines may be imposed on public authorities and bodies established in that Member State.
8. The exercise by the supervisory authority of its powers under this Article shall be subject to appropriate procedural safeguards in accordance with Union and Member State law, including effective judicial remedy and due process.
9. Where the legal system of the Member State does not provide for administrative fines, this Article may be applied in such a manner that the fine is initiated by the competent supervisory authority and imposed by competent national courts, while ensuring that those legal remedies are effective and have an equivalent effect to the administrative fines imposed by supervisory authorities. In any event, the fines imposed shall be effective, proportionate and dissuasive. Those Member States shall notify to the Commission the provisions of their laws which they adopt pursuant to this paragraph by 25 May 2018 and, without delay, any subsequent amendment law or amendment affecting them.
",83,General conditions for imposing administrative fines,8,"Remedies, liability and penalties",877,"What is the maximum amount of administrative fine for infringements of the basic principles for processing, including conditions for consent, pursuant to Articles 5, 6, 7 and 9?","Infringements of the basic principles for processing, including conditions for consent, pursuant to Articles 5, 6, 7 and 9 shall be subject to administrative fines up to 20 000 000 EUR, or in the case of an undertaking, up to 4 % of the total worldwide annual turnover of the preceding financial year, whichever is higher.",28,56
"
Article 84
Penalties
1. Member States shall lay down the rules on other penalties applicable to infringements of this Regulation in particular for infringements which are not subject to administrative fines pursuant to Article 83, and shall take all measures necessary to ensure that they are implemented. Such penalties shall be effective, proportionate and dissuasive.
2. Each Member State shall notify to the Commission the provisions of its law which it adopts pursuant to paragraph 1, by 25 May 2018 and, without delay, any subsequent amendment affecting them.
",84,Penalties,8,"Remedies, liability and penalties",88,What is the deadline for Member States to notify the Commission of the provisions of its law pursuant to paragraph 1 of Article 84?,The deadline for Member States to notify the Commission of the provisions of its law pursuant to paragraph 1 of Article 84 is by 25 May 2018.,24,27
"
Article 85
Processing and freedom of expression and information
1. Member States shall by law reconcile the right to the protection of personal data pursuant to this Regulation with the right to freedom of expression and information, including processing for journalistic purposes and the purposes of academic, artistic or literary expression.
2. For processing carried out for journalistic purposes or the purpose of academic artistic or literary expression, Member States shall provide for exemptions or derogations from Chapter II (principles), Chapter III (rights of the data subject), Chapter IV (controller and processor), Chapter V (transfer of personal data to third countries or international organisations), Chapter VI (independent supervisory authorities), Chapter VII (cooperation and consistency) and Chapter IX (specific data processing situations) if they are necessary to reconcile the right to the protection of personal data with the freedom of expression and information.
3. Each Member State shall notify to the Commission the provisions of its law which it has adopted pursuant to paragraph 2 and, without delay, any subsequent amendment law or amendment affecting them.
",85,Processing and freedom of expression and information,9,Provisions relating to specific processing situations,175,What is the role of Member States in notifying the Commission about their law provisions?,"Each Member State shall notify to the Commission the provisions of its law which it has adopted pursuant to paragraph 2 and, without delay, any subsequent amendment law or amendment affecting them.",15,32
"
Article 88
Processing in the context of employment
1. Member States may, by law or by collective agreements, provide for more specific rules to ensure the protection of the rights and freedoms in respect of the processing of employees' personal data in the employment context. These rules may pertain to various aspects of employment, including recruitment, performance of the employment contract, management, planning and organization of work, equality and diversity in the workplace, health and safety at work, protection of employer's or customer's property, and the exercise and enjoyment of rights and benefits related to employment, as well as the termination of the employment relationship.

2. Such rules shall include appropriate and specific measures to safeguard the data subject's human dignity, legitimate interests, and fundamental rights. These measures should address transparency of processing, transfer of personal data within a group of undertakings or enterprises engaged in a joint economic activity, and monitoring systems in the workplace.

3. Each Member State shall notify the Commission of the provisions of its law adopted pursuant to paragraph 1 by 25 May 2018 and, without delay, any subsequent amendments affecting them.
",88,Processing in the context of employment,9,Provisions relating to specific processing situations,187,What should the appropriate and specific measures included in the rules provided by Member States or collective agreements address?,"The appropriate and specific measures included in the rules provided by Member States or collective agreements should address transparency of processing, transfer of personal data within a group of undertakings or enterprises engaged in a joint economic activity, and monitoring systems in the workplace.",19,44
"
Article 87
Processing of the national identification number
Member States may further determine the specific conditions for the processing of a national identification number or any other identifier of general application. In that case, the national identification number or any other identifier of general application shall be used only under appropriate safeguards for the rights and freedoms of the data subject pursuant to this Regulation.
",87,Processing of the national identification number,9,Provisions relating to specific processing situations,65,What is the other identifier of general application mentioned in Article 87 of GDPR?,Any other identifier of general application is mentioned in Article 87 of GDPR.,14,13
"
Article 86
Processing and public access to official documents
Personal data in official documents held by a public authority or a public body or a private body for the performance of a task carried out in the public interest may be disclosed by the authority or body in accordance with Union or Member State law to which the public authority or body is subject in order to reconcile public access to official documents with the right to the protection of personal data pursuant to this Regulation.
",86,Processing and public access to official documents,9,Provisions relating to specific processing situations,86,Under what circumstances can personal data in official documents be disclosed?,Personal data in official documents can be disclosed in accordance with Union or Member State law to reconcile public access to official documents with the right to the protection of personal data.,11,32
"
Article 89
Safeguards and derogations relating to processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes
1. Processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes, shall be subject to appropriate safeguards, in accordance with this Regulation, for the rights and freedoms of the data subject. Those safeguards shall ensure that technical and organisational measures are in place in particular in order to ensure respect for the principle of data minimisation. Those measures may include pseudonymisation provided that those purposes can be fulfilled in that manner. Where those purposes can be fulfilled by further processing which does not permit or no longer permits the identification of data subjects, those purposes shall be fulfilled in that manner.
2. Where personal data are processed for scientific or historical research purposes or statistical purposes, Union or Member State law may provide for derogations from the rights referred to in Articles 15, 16, 18 and 21 subject to the conditions and safeguards referred to in paragraph 1 of this Article in so far as such rights are likely to render impossible or seriously impair the achievement of the specific purposes, and such derogations are necessary for the fulfilment of those purposes.
3. Where personal data are processed for archiving purposes in the public interest, Union or Member State law may provide for derogations from the rights referred to in Articles 15, 16, 18, 19, 20 and 21 subject to the conditions and safeguards referred to in paragraph 1 of this Article in so far as such rights are likely to render impossible or seriously impair the achievement of the specific purposes, and such derogations are necessary for the fulfilment of those purposes.
4. Where processing referred to in paragraphs 2 and 3 serves at the same time another purpose, the derogations shall apply only to processing for the purposes referred to in those paragraphs.
",89,"Safeguards and derogations relating to processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes",9,Provisions relating to specific processing situations,324,Under what conditions can derogations from certain rights be made for processing personal data for scientific or historical research purposes or statistical purposes?,"Derogations from certain rights can be made for processing personal data for scientific or historical research purposes or statistical purposes if Union or Member State law provides for them, subject to the conditions and safeguards referred to in paragraph 1 of Article 89, and if such rights are likely to render impossible or seriously impair the achievement of the specific purposes, and such derogations are necessary for the fulfilment of those purposes.",23,72
"
Article 90
Obligations of secrecy
1. Member States may adopt specific rules to set out the powers of the supervisory authorities laid down in points (e) and (f) of Article 58(1) in relation to controllers or processors that are subject, under Union or Member State law or rules established by national competent bodies, to an obligation of professional secrecy or other equivalent obligations of secrecy where this is necessary and proportionate to reconcile the right of the protection of personal data with the obligation of secrecy. Those rules shall apply only with regard to personal data which the controller or processor has received as a result of or has obtained in an activity covered by that obligation of secrecy.
2. Each Member State shall notify to the Commission the rules adopted pursuant to paragraph 1, by 25 May 2018 and, without delay, any subsequent amendment affecting them.
",90,Obligations of secrecy,9,Provisions relating to specific processing situations,147,Under what circumstances can Member States adopt specific rules for supervisory authorities mentioned in Article 90?,Member States can adopt specific rules for supervisory authorities mentioned in Article 90 in relation to controllers or processors that are subject to an obligation of professional secrecy or other equivalent obligations of secrecy where this is necessary and proportionate to reconcile the right of the protection of personal data with the obligation of secrecy.,16,55
"
Article 91
Existing data protection rules of churches and religious associations
1. Where in a Member State, churches and religious associations or communities apply, at the time of entry into force of this Regulation, comprehensive rules relating to the protection of natural persons with regard to processing, such rules may continue to apply, provided that they are brought into line with this Regulation.
2. Churches and religious associations which apply comprehensive rules in accordance with paragraph 1 of this Article shall be subject to the supervision of an independent supervisory authority, which may be specific, provided that it fulfils the conditions laid down in Chapter VI of this Regulation.
",91,Existing data protection rules of churches and religious associations,9,Provisions relating to specific processing situations,109,What is the condition for churches and religious associations to continue applying their comprehensive rules in accordance with paragraph 1 of Article 91?,They must be brought into line with the GDPR.,23,9
"
Article 92
Exercise of the delegation
1. The power to adopt delegated acts is conferred on the Commission subject to the conditions laid down in this Article.
2. The delegation of power referred to in Article 12(8) and Article 43(8) shall be conferred on the Commission for an indeterminate period of time from 24 May 2016.
3. The delegation of power referred to in Article 12(8) and Article 43(8) may be revoked at any time by the European Parliament or by the Council. A decision of revocation shall put an end to the delegation of power specified in that decision. It shall take effect the day following that of its publication in the Official Journal of the European Union or at a later date specified therein. It shall not affect the validity of any delegated acts already in force.
4. As soon as it adopts a delegated act, the Commission shall notify it simultaneously to the European Parliament and to the Council.
5. A delegated act adopted pursuant to Article 12(8) and Article 43(8) shall enter into force only if no objection has been expressed by either the European Parliament or the Council within a period of three months of notification of that act to the European Parliament and the Council or if, before the expiry of that period, the European Parliament and the Council have both informed the Commission that they will not object. That period shall be extended by three months at the initiative of the European Parliament or of the Council.
",92,Exercise of the delegation,10,Delegated acts and implementing acts,254,"Can the delegation of power referred to in Article 12(8) and Article 43(8) be revoked? If yes, who can revoke it?","Yes, the delegation of power referred to in Article 12(8) and Article 43(8) may be revoked at any time by the European Parliament or by the Council.",21,27
"
Article 93
Committee procedure
1. The Commission shall be assisted by a committee. That committee shall be a committee within the meaning of Regulation (EU) No 182/2011.
2. Where reference is made to this paragraph, Article 5 of Regulation (EU) No 182/2011 shall apply.
3. Where reference is made to this paragraph, Article 8 of Regulation (EU) No 182/2011, in conjunction with Article 5 thereof, shall apply.
",93,Committee procedure,10,Delegated acts and implementing acts,67,Which article of Regulation (EU) No 182/2011 applies when reference is made to paragraph 2 of Article 93 of GDPR?,"When reference is made to paragraph 2 of Article 93 of GDPR, Article 5 of Regulation (EU) No 182/2011 applies.",20,20
"
Article 94
Repeal of Directive 95/46/EC
1. Directive 95/46/EC is repealed with effect from 25 May 2018.
2. References to the repealed Directive shall be construed as references to this Regulation. References to the Working Party on the Protection of Individuals with regard to the Processing of Personal Data established by Article 29 of Directive 95/46/EC shall be construed as references to the European Data Protection Board established by this Regulation.
",94,Repeal of Directive 95/46/EC,11,Final provisions,71,What is the European Data Protection Boardin relation to the Working Party?,The European Data Protection Board is an entity established by GDPR that replaces the Working Party on the Protection of Individuals with regard to the Processing of Personal Data established by Article 29 of Directive 95/46/EC.,7,36
"
Article 95
Relationship with Directive 2002/58/EC
This Regulation shall not impose additional obligations on natural or legal persons in relation to processing in connection with the provision of publicly available electronic communications services in public communication networks in the Union in relation to matters for which they are subject to specific obligations with the same objective set out in Directive 2002/58/EC.
",95,Relationship with Directive 2002/58/EC,11,Final provisions,61,What is Directive 2002/58/EC?,Directive 2002/58/EC is a directive concerning the processing of personal data and the protection of privacy in the electronic communications sector in the European Union.,4,25
"
Article 96
Relationship with previously concluded Agreements
International agreements involving the transfer of personal data to third countries or international organisations which were concluded by Member States prior to 24 May 2016, and which comply with Union law as applicable prior to that date, shall remain in force until amended, replaced or revoked.
",96,Relationship with previously concluded Agreements,11,Final provisions,53,When should the agreements mentioned in Article 96 of GDPR remain in force?,The agreements mentioned in Article 96 of GDPR should remain in force if they were concluded by Member States prior to 24 May 2016 and comply with Union law as applicable prior to that date.,13,35
"
Article 97
Commission reports
1. By 25 May 2020 and every four years thereafter, the Commission shall submit a report on the evaluation and review of this Regulation to the European Parliament and to the Council. The reports shall be made public.
2. In the context of the evaluations and reviews referred to in paragraph 1, the Commission shall examine, in particular, the application and functioning of:
(a) Chapter V on the transfer of personal data to third countries or international organisations with particular regard to decisions adopted pursuant to Article 45(3) of this Regulation and decisions adopted on the basis of Article 25(6) of Directive 95/46/EC;
(b) Chapter VII on cooperation and consistency.
3. For the purpose of paragraph 1, the Commission may request information from Member States and supervisory authorities.
4. In carrying out the evaluations and reviews referred to in paragraphs 1 and 2, the Commission shall take into account the positions and findings of the European Parliament, of the Council, and of other relevant bodies or sources.
5. The Commission shall, if necessary, submit appropriate proposals to amend this Regulation, in particular taking into account of developments in information technology and in the light of the state of progress in the information society.
",97,Commission reports,11,Final provisions,207,What is the scope of examination of the Commission in the context of evaluations and reviews referred to in paragraph 1 of Article 97 of GDPR?,"In the context of the evaluations and reviews referred to in paragraph 1 of Article 97 of GDPR, the Commission shall examine the application and functioning of Chapter V on the transfer of personal data to third countries or international organisations with particular regard to decisions adopted pursuant to Article 45(3) of this Regulation and decisions adopted on the basis of Article 25(6) of Directive 95/46/EC, and Chapter VII on cooperation and consistency.",26,73
"
Article 98
Review of other Union legal acts on data protection
The Commission shall, if appropriate, submit legislative proposals with a view to amending other Union legal acts on the protection of personal data, in order to ensure uniform and consistent protection of natural persons with regard to processing. This shall in particular concern the rules relating to the protection of natural persons with regard to processing by Union institutions, bodies, offices and agencies and on the free movement of such data.
",98,Review of other Union legal acts on data protection,11,Final provisions,82,What is the focus of the legislative proposals submitted by the Commission?,The legislative proposals submitted by the Commission focus on amending other Union legal acts on the protection of personal data to ensure uniform and consistent protection of natural persons with regard to processing.,12,33
"
Article 99
Entry into force and application
1. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union.
2. It shall apply from 25 May 2018.
",99,Entry into force and application,11,Final provisions,39,What is the Official Journal of the European Union?,"The Official Journal of the European Union is a publication that contains EU legislation, including the GDPR.",9,17
"
Article 1
Subject-matter and objectives

1. This Regulation lays down rules relating to the protection of natural persons with regard to the processing of
   personal data and rules relating to the free movement of personal data.
2. This Regulation protects fundamental rights and freedoms of natural persons and in particular their right to the
   protection of personal data.
3. The free movement of personal data within the Union shall be neither restricted nor prohibited for reasons
   connected with the protection of natural persons with regard to the processing of personal data.
",1,Subject-matter and objectives,1,General provisions,91,What is the scope of GDPR in terms of objectives for free movement of personal data?,The scope of GDPR is to protect natural persons with regard to the processing of personal data and to ensure the free movement of personal data within the Union.,6,29
"
Article 2
Material scope

1. This Regulation applies to the processing of personal data wholly or partly by automated means and to the
   processing other than by automated means of personal data which form part of a filing system or are intended to form
   part of a filing system.
2. This Regulation does not apply to the processing of personal data:
   (a) in the course of an activity which falls outside the scope of Union law;
   (b) by the Member States when carrying out activities which fall within the scope of Chapter 2 of Title V of the TEU;
   (c) by a natural person in the course of a purely personal or household activity;
   (d) by competent authorities for the purposes of the prevention, investigation, detection or prosecution of criminal
       offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to
       public security.
3. For the processing of personal data by the Union institutions, bodies, offices and agencies, Regulation (EC)
   No 45/2001 applies. Regulation (EC) No 45/2001 and other Union legal acts applicable to such processing of personal
   data shall be adapted to the principles and rules of this Regulation in accordance with Article 98.
4. This Regulation shall be without prejudice to the application of Directive 2000/31/EC, in particular of the liability
   rules of intermediary service providers in Articles 12 to 15 of that Directive.
",2,Material scope,1,General provisions,232,What is the relationship between GDPR and Directive 2000/31/EC?,"This Regulation shall be without prejudice to the application of Directive 2000/31/EC, in particular of the liability rules of intermediary service providers in Articles 12 to 15 of that Directive.",9,30
"
Article 3
Territorial scope

1. This Regulation applies to the processing of personal data in the context of the activities of an establishment of a
   controller or a processor in the Union, regardless of whether the processing takes place in the Union or not. 
2. This Regulation applies to the processing of personal data of data subjects who are in the Union by a controller or
   processor not established in the Union, where the processing activities are related to:
   (a) the offering of goods or services, irrespective of whether a payment of the data subject is required, to such data
       subjects in the Union; or
   (b) the monitoring of their behaviour as far as their behaviour takes place within the Union.
3. This Regulation applies to the processing of personal data by a controller not established in the Union, but in a
   place where Member State law applies by virtue of public international law.
",3,Territorial scope,1,General provisions,154,Does GDPR apply to the processing of personal data by a controller or processor not established in the Union?,"Yes, GDPR applies to the processing of personal data by a controller or processor not established in the Union if the processing activities are related to the offering of goods or services to data subjects in the Union or the monitoring of their behavior as far as their behavior takes place within the Union.",19,54
"
Article 4
Definitions

For the purposes of this Regulation:
(1) ‘personal data’ means any information relating to an identified or identifiable natural person (‘data subject’); an
    identifiable natural person is one who can be identified, directly or indirectly, in particular by reference to an
    identifier such as a name, an identification number, location data, an online identifier or to one or more factors
    specific to the physical, physiological, genetic, mental, economic, cultural or social identity of that natural person;
(2) ‘processing’ means any operation or set of operations which is performed on personal data or on sets of personal
    data, whether or not by automated means, such as collection, recording, organisation, structuring, storage,
    adaptation or alteration, retrieval, consultation, use, disclosure by transmission, dissemination or otherwise making
    available, alignment or combination, restriction, erasure or destruction;
(3) ‘restriction of processing’ means the marking of stored personal data with the aim of limiting their processing in
    the future;
(4) ‘profiling’ means any form of automated processing of personal data consisting of the use of personal data to
    evaluate certain personal aspects relating to a natural person, in particular to analyse or predict aspects concerning
    that natural person's performance at work, economic situation, health, personal preferences, interests, reliability,
    behaviour, location or movements;
(5) ‘pseudonymisation’ means the processing of personal data in such a manner that the personal data can no longer
    be attributed to a specific data subject without the use of additional information, provided that such additional
    information is kept separately and is subject to technical and organisational measures to ensure that the personal
    data are not attributed to an identified or identifiable natural person;
(6) ‘filing system’ means any structured set of personal data which are accessible according to specific criteria, whether
    centralised, decentralised or dispersed on a functional or geographical basis;
(7) ‘controller’ means the natural or legal person, public authority, agency or other body which, alone or jointly with
    others, determines the purposes and means of the processing of personal data; where the purposes and means of
    such processing are determined by Union or Member State law, the controller or the specific criteria for its
    nomination may be provided for by Union or Member State law;
(8) ‘processor’ means a natural or legal person, public authority, agency or other body which processes personal data
    on behalf of the controller;
(9) ‘recipient’ means a natural or legal person, public authority, agency or another body, to which the personal data are disclosed, whether a third party or not. However, public authorities which may receive personal data in the
    framework of a particular inquiry in accordance with Union or Member State law shall not be regarded as
    recipients; the processing of those data by those public authorities shall be in compliance with the applicable data
    protection rules according to the purposes of the processing;
(10) ‘third party’ means a natural or legal person, public authority, agency or body other than the data subject,
     controller, processor and persons who, under the direct authority of the controller or processor, are authorised to
     process personal data;
(11) ‘consent’ of the data subject means any freely given, specific, informed and unambiguous indication of the data
     subject's wishes by which he or she, by a statement or by a clear affirmative action, signifies agreement to the
     processing of personal data relating to him or her;
(12) ‘personal data breach’ means a breach of security leading to the accidental or unlawful destruction, loss, alteration,
     unauthorised disclosure of, or access to, personal data transmitted, stored or otherwise processed;
(13) ‘genetic data’ means personal data relating to the inherited or acquired genetic characteristics of a natural person
     which give unique information about the physiology or the health of that natural person and which result, in
     particular, from an analysis of a biological sample from the natural person in question;
(14) ‘biometric data’ means personal data resulting from specific technical processing relating to the physical, physiological or behavioural characteristics of a natural person, which allow or confirm the unique identification of that
     natural person, such as facial images or dactyloscopic data;
(15) ‘data concerning health’ means personal data related to the physical or mental health of a natural person, including
     the provision of health care services, which reveal information about his or her health status;
(16) ‘main establishment’ means:
    (a) as regards a controller with establishments in more than one Member State, the place of its central administration in the Union, unless the decisions on the purposes and means of the processing of personal data are
        taken in another establishment of the controller in the Union and the latter establishment has the power to
        have such decisions implemented, in which case the establishment having taken such decisions is to be
        considered to be the main establishment;
    (b) as regards a processor with establishments in more than one Member State, the place of its central administration in the Union, or, if the processor has no central administration in the Union, the establishment of the
        processor in the Union where the main processing activities in the context of the activities of an establishment
        of the processor take place to the extent that the processor is subject to specific obligations under this
        Regulation;
(17) ‘representative’ means a natural or legal person established in the Union who, designated by the controller or
     processor in writing pursuant to Article 27, represents the controller or processor with regard to their respective
     obligations under this Regulation;
(18) ‘enterprise’ means a natural or legal person engaged in an economic activity, irrespective of its legal form, including
     partnerships or associations regularly engaged in an economic activity;
",4,Definitions,1,General provisions,935,What is the definition of pseudonymisation according to GDPR?,"Pseudonymisation means the processing of personal data in such a manner that the personal data can no longer be attributed to a specific data subject without the use of additional information, provided that such additional information is kept separately and is subject to technical and organisational measures to ensure that the personal data are not attributed to an identified or identifiable natural person.",9,63
"
Article 4 (continued)
Definitions

For the purposes of this Regulation:
(19) ‘group of undertakings’ means a controlling undertaking and its controlled undertakings;
(20) ‘binding corporate rules’ means personal data protection policies which are adhered to by a controller or processor
    established on the territory of a Member State for transfers or a set of transfers of personal data to a controller or
    processor in one or more third countries within a group of undertakings, or group of enterprises engaged in a
    joint economic activity;
(21) ‘supervisory authority’ means an independent public authority which is established by a Member State pursuant to
    Article 51; 
(22) ‘supervisory authority concerned’ means a supervisory authority which is concerned by the processing of personal
    data because:
    (a) the controller or processor is established on the territory of the Member State of that supervisory authority;
    (b) data subjects residing in the Member State of that supervisory authority are substantially affected or likely to be
        substantially affected by the processing; or
    (c) a complaint has been lodged with that supervisory authority;
(23) ‘cross-border processing’ means either:
    (a) processing of personal data which takes place in the context of the activities of establishments in more than
        one Member State of a controller or processor in the Union where the controller or processor is established in
        more than one Member State; or
    (b) processing of personal data which takes place in the context of the activities of a single establishment of a
        controller or processor in the Union but which substantially affects or is likely to substantially affect data
        subjects in more than one Member State.
(24) ‘relevant and reasoned objection’ means an objection to a draft decision as to whether there is an infringement of
    this Regulation, or whether envisaged action in relation to the controller or processor complies with this
    Regulation, which clearly demonstrates the significance of the risks posed by the draft decision as regards the
    fundamental rights and freedoms of data subjects and, where applicable, the free flow of personal data within the
    Union;
(25) ‘information society service’ means a service as defined in point (b) of Article 1(1) of Directive (EU) 2015/1535 of
    the European Parliament and of the Council (
    1
    );
(26) ‘international organisation’ means an organisation and its subordinate bodies governed by public international law,
    or any other body which is set up by, or on the basis of, an agreement between two or more countries.
",4,Definitions,1,General provisions,405,What is the definition of 'supervisory authority concerned' according to GDPR?,'Supervisory authority concerned' means a supervisory authority which is concerned by the processing of personal data because: (a) the controller or processor is established on the territory of the Member State of that supervisory authority; (b) data subjects residing in the Member State of that supervisory authority are substantially affected or likely to be substantially affected by the processing; or (c) a complaint has been lodged with that supervisory authority.,11,70
